assessment_event_id,program_id_anon,activity_title,activity_id,activity_event_id,creator_id_anon,activity_event_date,activity_event_created_date,evidence_recorded_date,assessment_event_creation_date,expiration_date,rater_id_anon,rater_role_during_event,subject_id_anon,subject_role_during_event,subject_pgy_now,subject_pgy_during_event,created_by,instrument_title,instrument_id,activity_value,activity_anchor,age_value,age_anchor,assessment_type_value,assessment_type_anchor,commitment_to_growth_and_learning_value,collaborating_with_others_value,complexity_value,complexity_anchor,diagnosis_value,diagnosis_anchor,duration_of_observation_value,duration_of_observation_anchor,family_centered_care_value,feedback_value,knowing_limits_and_help_seeking_value,next_level_value,professional_behaviors_and_responsibilities_value,providing_high_value_care_value,plan_value,plan_anchor,procedure_value,procedure_anchor,readiness_for_practice_value,readiness_for_practice_anchor,setting_value,supervision_value,supervision_anchor,why_value
02f48e20-9ee3-44a6-a19d-46cf282efa9b,0d5099be4af1b9fb7ef4f448e6d284f0,"ROUTINE HEALTH VISIT for child WITHOUT significant complex, chronic, or special health care needs",ebffffa8-c755-4a62-b157-dc3a17ed3385,e1b25ed1-84bd-400f-af4e-114c4831419e,c05176d2f5e686b8031fe2c98f67f18d,2025-09-04 21:25:57.051,2025-09-04 21:25:57.051,2025-09-10 23:59:10.650,2025-09-04 21:27:26.078,2025-09-11 21:25:57.051,5aed74d3cfd857c087f74479bb2e8b0a,Attending,c05176d2f5e686b8031fe2c98f67f18d,Trainee,1,1,Trainee,Providing preventative primary care for children of all ages,e53c420f-bd1d-48c1-973c-2ef023a8753d,,,2,Toddler,,,,,2,Moderate,,,,,,"****** develops beautiful rapport with families, and she has such a wonderful way of counseling families. She is clear, thoughtful, and deliberate. She puts things in patient-centered language. What she is working on now (and she is even a bit ahead of where she should be for her level of training in this) is continuing to build her scripts for different issues commonly encountered in primary care. Here, through our conversations, she developed more of a script for navigating picky eating, toddler discipline, etc. She delivers the message beautifully and in her own words. She also puts them nicely in her note in an organized manner that would help a future provider understand the context of the discussion. Keep up the fantastic work!",,,,,,,,,,,Primary Care Clinic,3,SUPERVISOR AND RESIDENT CO-LED CARE: Required supervising physician(s) to direct some aspects of the care,
04cf0a9c-6851-466a-bda5-4636e5a84f64,0d5099be4af1b9fb7ef4f448e6d284f0,Single Free Text Question- GENERAL FEEDBACK,f088b1a8-4bc1-11f0-a68b-c3f16f1f25d3,77081d23-4cf7-47e9-b9cc-ed8b4f19bc2d,41d4ffbd076cda5955b965b5a58038e8,2025-10-26 22:18:07.000,2025-10-26 22:18:07.000,2025-10-30 15:34:40.020,2025-10-26 22:30:18.278,2025-11-02 22:18:07.000,3f01e9360b51531a2ea6b388ae30bab9,Attending,41d4ffbd076cda5955b965b5a58038e8,Trainee,1,1,Trainee,General Feedback (narrative questions only),c54cf74f-df33-4d67-89fd-08ef4110f5d5,,,,,2,Based on multiple personal observations,,,,,,,,,,"Independently seeking out resources to understand medical decision making and to generate higher-level discussion with the subpsecialty team, without prompting and with enthusiasm. Pro-active in making new connections between concepts from one patient encounter to the next, or a teaching session and a new consult. Willingness to participate in pathophysiology and other discussions, at a high level, despite this being the first three days on a rotation. She asked thought-provoking questions in our division-wide case conference that highlighted this curiosity, rapid mastery of new material, and intellectual curiosity. Engaging and empathetic questions and reflections during patient/family interactions that ensure the family knows their concerns are being heard, their distress is acknowledged, and/or the plan is well understood. Willingness to try new approaches to her framework for patient data collection/presentation/understanding in the setting of a new subspecialty, and ability to integrate suggestions in real time, demonstrating a flexible mindset and growth mindset.",,"As you progress as a resident, in addition to the data collection and interpretation leading to a diagnosis, layer in a pathophysiologic model for their presentation and the expected/unexpected response to interventions. While listed as a suggestion, you immediately incorporated this into patient presentations/encounters e.g. assessing the physiology of the thyroiditis patient rather than describing the abnormal TFT, e.g. evaluating the urine osm of AVP deficiency patient with AKI in response to DDAVP rather than reporting the Uosm value. Impressive!",,,,,,,,,Other Subspeciality,,,
089fc62c-6343-4327-8725-c0a9e83ebfee,0d5099be4af1b9fb7ef4f448e6d284f0,LEAD a Team and/or SUPERVISE others,29d4d59b-e497-4f0e-9538-d06e1a0cab86,39fc376f-67b5-4d20-aa61-27f3b321272c,c05e658472756d2990d995b92e375919,2025-09-13 18:37:02.000,2025-09-13 18:37:02.000,2025-09-13 18:41:52.161,2025-09-13 18:40:17.744,2025-09-20 18:37:02.000,c05e658472756d2990d995b92e375919,Attending,28872875e67d61e6920a393b722c1f49,Trainee,1,1,Attending,"Lead, supervise, and collaborate with other members of the healthcare team",0e160f52-09fb-499c-a74d-5af4602aa763,2,"Supervise others (e.g., intern, medical student)",,,,,,,1,Straightforward,,,,,,"***** did a lot of spontaneous teaching for our medical student and even the MTAs on rounds , explaining things about patients they may have missed and really setting the medical student up for success on family centered rounds. I can see her passion for teaching and she is great at it! I'm so glad she is taking the initiative to help the other learners on the team and I know it makes the rotation so much better for them.",,,,,,,,,,,Hospitalist/GP Inpatient,4,"RESIDENT LED CARE WITH MINIMAL SUPERVISION NEEDED: Resident directed care, supervision only led to small adjustments in care",
0ca594de-889a-4920-a644-1a346ac60590,0d5099be4af1b9fb7ef4f448e6d284f0,Single Free Text Question- COMMITMENT TO GROWTH AND LEARNING,f170cd68-e6ff-4bde-921f-796607b5e4d6,564fc060-00c1-4c5d-bb82-d674237d1f32,170ff7f68671016f53a1fcf93c3b68f1,2025-10-25 15:32:00.000,2025-10-25 15:32:00.000,2025-10-28 15:42:28.938,2025-10-28 15:41:19.382,2025-11-01 15:32:00.000,170ff7f68671016f53a1fcf93c3b68f1,Attending,f754acbcd47b14c4bff5eb65852cb8d1,Trainee,1,1,Attending,COMMITTING TO LIFELONG LEARNING,0033de4c-f737-410b-a838-3d723b1b14db,,,,,2,Based on multiple personal observations,"*** did a really good job of seeking out feedback from me throughout his rotation. In addition to asking me specifically for feedback, he was interested in improving his assessments and his notes. And he incorporated my feedback into his notes subsequent days.",,,,,,,,,,,,,,,,,,,,Hospitalist/GP Inpatient,,,
10ec5779-278b-433d-9a30-f194be8ffe2c,0d5099be4af1b9fb7ef4f448e6d284f0,Single Free Text Question- COMMUNICATING WITH PATIENT AND FAMILIES/PROVIDING FAMILY-CENTERED CARE,64618f70-4c74-11f0-bfa1-cf6ba3e29be9,f5e10215-bd1d-4fb8-bcad-48b9e99018b7,519a2bf8994b1a7aab3ad6ff4e541b61,2025-08-29 11:33:00.000,2025-08-29 11:33:00.000,2025-08-31 11:54:29.399,2025-08-31 11:52:00.224,2025-09-05 11:33:00.000,519a2bf8994b1a7aab3ad6ff4e541b61,Attending,41d4ffbd076cda5955b965b5a58038e8,Trainee,1,1,Attending,Deliver family-centered care,cda5e97e-5421-47b4-8edb-03fe67c4012b,,,,,1,Based on a single encounter or day,,,,,,,,,"I have been extremely impressed with ********'s ability to own the room as the primary provider in the Nursery and navigate some challenging and varied discussions with stressed and distraught families. In this instance, a baby had severe weight loss and needed to start on phototherapy for jaundice and I prompted ******** to remain the primary communicator with this family throughout the day to provide updates and negotiate Shared decision-making on feeding plans and phototherapy plans. She did this in a way that was direct yet brought empathy and flexibility with the family. She was an empathic listener and patient when the parent was feeling emotional and stressed. And she was able to provide smart options for the family to choose from in terms of management that led to success in getting the infants' weight and bilirubin on an improved trajectory to achieve timely discharge.",,,,,,,,,,,,Hospitalist/GP Inpatient,,,
19f9ead4-7b5b-4a26-b06d-0cad225194d1,0d5099be4af1b9fb7ef4f448e6d284f0,Single Free Text Question- GENERAL FEEDBACK,f088b1a8-4bc1-11f0-a68b-c3f16f1f25d3,3681d84f-878d-401f-bb63-efedc2c734bf,40852edd0610b42e6209c7c67257dda6,2025-09-03 15:30:13.000,2025-09-03 15:30:13.000,2025-09-04 18:13:40.877,2025-09-03 15:34:55.424,2025-09-10 15:30:13.000,0d2ea8e3604464e270e9d675958f24b1,Attending,40852edd0610b42e6209c7c67257dda6,Trainee,1,1,Trainee,General Feedback (narrative questions only),c54cf74f-df33-4d67-89fd-08ef4110f5d5,,,,,2,Based on multiple personal observations,,,,,,,,,,***** has an amazing attitude is always wanting to improve. I'm really impressed with how well she takes constructive feedback and works on those areas. I've seen growth from when I was on with her last - presentations have improved and she seems to be much more comfortable talking with families in patient-centered rounds.,,I talked with ***** that it would be good to further develop her assessments and plan. I liked the way she discussed with one of our patients the different areas we were focusing on - in this case differentiating the broader work-up from some of the feeding based issues.,,,,,,,,,Other Subspeciality,,,
1ed53c90-ef22-4803-a938-2ce7efd74f73,0d5099be4af1b9fb7ef4f448e6d284f0,ACUTE CARE VISIT NOT requiring transfer to higher level of care,d6660952-4d66-4af5-b3fb-6afc0ecd1f44,741c28e6-93e5-45c6-9703-9ec3f5778b73,e361594a54a883cf0e336d62c7946c52,2025-09-05 00:15:25.000,2025-09-05 00:15:25.000,2025-09-10 19:59:17.956,2025-09-05 00:17:23.629,2025-09-12 00:15:25.000,1827369260e313e263cadd48f2ee9162,Attending,e361594a54a883cf0e336d62c7946c52,Trainee,1,1,Trainee,"Manage a patient with an acute, common diagnosis (Primary Care Clinic)",f6a3e512-f8c4-4c48-9b29-63ed49ba6792,,,,,,,,,1,Straightforward,25,Rash,,,,"The diagnosis on this patient was pretty straightforward, but ***** demonstrated excellent bedside manner and took care of all the little details like supportive care discussions, school notes, etc. that help to make a family feel cared for and understood.",,,,,,,,,,,Primary Care Clinic,4,"RESIDENT LED CARE WITH MINIMAL SUPERVISION NEEDED: Resident directed care, supervision only led to small adjustments in care",
27a59efd-efd8-4092-9d84-91779235c9ac,0d5099be4af1b9fb7ef4f448e6d284f0,ACUTE COMMON PROBLEM,30aba215-267e-4169-85ac-771de3294939,3d75dfc0-45de-4af8-8a93-706532507703,2ea0ff994b64bb9617db0218afdd4196,2025-10-30 21:57:54.000,2025-10-30 21:57:54.000,2025-10-31 01:02:28.950,2025-10-30 22:00:05.601,2025-11-06 21:57:54.000,68c1a8f7c22c63c7160a75ea2cfdee61,Attending,2ea0ff994b64bb9617db0218afdd4196,Trainee,1,1,Trainee,ACUTE COMMON PROBLEM (ED),ee2f7072-c7ab-4497-97ba-04f383b0eb3a,,,,,,,,,2,Moderate,5,Asthma,,,,"**** took care of this patient while simultaneously supervising a third year medical student. I think she did a great job providing autonomy to the student allowing him to do the history and exam under her supervision, as well as allowing him to present the case. When we were doing teaching about the management of asthma, **** did a great job of stepping in and pulling out a clinical practice guideline and using this to teach the student about assessment of level of illness and how this modifies our approach to the treatment plan. Her assessment of the patient and recommended treatment plan were spot on, she did serial reassessments With an appropriate adjustment of his care and did nice work independently coming up with a disposition plan and prescribing him an inhaler for home. Particularly notable was that she found a video instructing the family on the use of a spacer in their preferred language of Haitian Creole without being prompted. This really demonstrated an impressive attention to detail and equitable approach to healthcare. My only recommendation, which was provided at the time we cared for this patient was to make sure we enter the room with an age appropriate and broad differential diagnosis considering various things that can cause wheezing (eg foreign body aspiration) and making sure that when teaching a student, we encourage them to consider these different causes while obtaining the history and focusing their physical exam.",,,,,,,,,,,ED,5,"RESIDENT LED CARE WITHOUT SUPERVISION NEEDED: May benefit from continued learning and growth; however, care would have been safe and effective without a supervisor",
2a0ca346-043d-4a4d-b91b-036b0d54bc7d,0d5099be4af1b9fb7ef4f448e6d284f0,Single Free Text Question- GENERAL FEEDBACK,8275d05e-4bbe-11f0-9498-e7f5d15a4beb,118f4ec0-1fe4-483f-8407-aa186000a751,df7c035740ccf0d9a5056a13608ca247,2025-08-12 15:11:22.000,2025-08-12 15:11:22.000,2025-08-12 15:14:12.203,2025-08-12 15:12:27.392,2025-08-19 15:11:22.000,df7c035740ccf0d9a5056a13608ca247,Attending,c623b5e1921dfd62d3d19b500943ebd8,Trainee,1,1,Attending,General Feedback (narrative questions only),c54cf74f-df33-4d67-89fd-08ef4110f5d5,,,,,3,End of rotation compiled feedback,,,,,,,,,,"Welcome to the EDC Dr. ********! The ED can be a hard place to start for new interns given the rapid paced environment. However, Dr. ******** did not let that stop him! He was an integral part of the team. He quickly picked up patients and did accurate history and examinations. He was a model adult learner. He sought to understand each patient and started to develop pattern recognition for common pediatric complaints. When his thoughts about the patient differed from the attendings, he sought to understand why so that he could learn from each experience. Next steps for Dr. ******** is to expand his pattern recognition by seeing variations of the most common chief complaints.",,See prior.,,,,,,,,,ED,,,
302542d7-d741-4178-8858-deb0f419e225,0d5099be4af1b9fb7ef4f448e6d284f0,"ROUTINE HEALTH VISIT for child WITH complex, chronic, or special health care needs",60ab69f0-8f4e-44e7-8bd4-222d9ec4c691,eb061626-d562-41a6-aded-d228106d5908,8211a749bb57a433fcf501d0ac91f5ca,2025-09-09 02:07:30.000,2025-09-09 02:07:30.000,2025-09-15 13:49:46.468,2025-09-09 02:10:15.922,2025-09-16 02:07:30.000,f58c8df6d927f8b416a1771c28b63da2,Attending,8211a749bb57a433fcf501d0ac91f5ca,Trainee,1,1,Trainee,"Provide comprehensive healthcare for a child with complex, chronic, or special health care needs",a4ce695f-419d-4346-ac47-d918f63d562f,,,3,School-age,,,,,3,Complex,,,,,,"***** saw two complex psychosocial patients of mine for a well visit where behavior and mental health concerns were quite significant. There are multiple SDOH-related barriers to care. ***** took a detailed history and presented it efficiently. She incorporated the complex social concerns into her assessment and plan. While she was not sure of the logistical ways to help the family/patients, she provided a clear assessment and plan first before our clinical discussion. For improvement, ***** can focus on being more succinct in history-gathering. While the history was complicated, the plan was somewhat straightforward (school supports, therapy and involving social work), so for future patients, can focus on the most pertinent historical points (of what has been done in the past), including barriers, which can guide the plan. This family has a lot going on, so balance parental concerns with next steps in future encounters (since a lot of the minutia we will not be able to fix or address today). It would also be appropriate in a more busy clinic day to get brief highlights and have the family return for another visit to discuss in more detail (so there is time to get a full history) and/or to consider a telehealth visit if access/travsportation/time barriers exist.",,,,,,,,,,,Primary Care Clinic,2,SUPERVISOR LED CARE: Required supervising physician(s) to direct the majority of the care,
